col,stat,tipo,canal,canal_desc,operacion,window,is_smmlv
trx_mnt_svp_pag_smmlv,trx,mnt,svp,sucursal virtual personas,pag,none,True
trx_mnt_svp_pag_ob_smmlv,trx,mnt,svp,sucursal virtual personas,pag_ob,none,True
trx_mnt_svp_ava_smmlv,trx,mnt,svp,sucursal virtual personas,ava,none,True
trx_mnt_svp_trf_smmlv,trx,mnt,svp,sucursal virtual personas,trf,none,True
trx_mnt_svp_ut_c_cr_smmlv,trx,mnt,svp,sucursal virtual personas,ut_c_cr,none,True
trx_mnt_can_app_per_smmlv,trx,mnt,app_per,app personas,can,none,True
trx_mnt_can_app_pyme_smmlv,trx,mnt,app_pyme,app pymes,can,none,True
trx_mnt_can_bill_mvl_smmlv,trx,mnt,bill_mvl,billetera movil,can,none,True
trx_mnt_can_btn_bco_smmlv,trx,mnt,btn_bco,boton banco,can,none,True
trx_mnt_can_cajero_smmlv,trx,mnt,cajero,cajero,can,none,True
trx_mnt_can_cr_bcrio_smmlv,trx,mnt,cr_bcrio,cr_bcrio,can,none,True
trx_mnt_can_pos_smmlv,trx,mnt,pos,pos,can,none,True
trx_mnt_can_pse_emp_smmlv,trx,mnt,pse_emp,pse empresas,can,none,True
trx_mnt_can_pse_per_smmlv,trx,mnt,pse_per,pse personas,can,none,True
trx_mnt_can_rec_e_v_smmlv,trx,mnt,rec_e_v,rec_e_v,can,none,True
trx_mnt_can_suc_fis_smmlv,trx,mnt,suc_fis,sucursal fisica,can,none,True
trx_mnt_can_suc_tel_smmlv,trx,mnt,,,can_suc_tel,none,True
trx_mnt_can_sv_pyme_smmlv,trx,mnt,sv_pyme,sucursal virtual pymes,can,none,True
trx_mnt_can_sve_smmlv,trx,mnt,sve,sucursal virtual empresa,can,none,True
trx_mnt_can_svp_smmlv,trx,mnt,svp,sucursal virtual personas,can,none,True
trx_mnt_gr_pag_smmlv,trx,mnt,gr,gr,pag,none,True
trx_mnt_gr_rcg_smmlv,trx,mnt,gr,gr,rcg,none,True
trx_mnt_gr_trf_smmlv,trx,mnt,gr,gr,trf,none,True
trx_mnt_gr_pag_ob_smmlv,trx,mnt,gr,gr,pag_ob,none,True
trx_mnt_gr_tfy_smmlv,trx,mnt,gr,gr,tfy,none,True
trx_mnt_gr_ava_smmlv,trx,mnt,gr,gr,ava,none,True
trx_mnt_gr_ut_c_cr_smmlv,trx,mnt,gr,gr,ut_c_cr,none,True
trx_mnt_gr_cmpr_smmlv,trx,mnt,gr,gr,cmpr,none,True
trx_mnt_gr_dep_smmlv,trx,mnt,gr,gr,dep,none,True
trx_mnt_gr_ret_smmlv,trx,mnt,gr,gr,ret,none,True
trx_mnt_gr_dvs_smmlv,trx,mnt,gr,gr,dvs,none,True
trx_tipo_doc_ant,trx,tipo,,,doc_ant,none,False
avg_trx_mnt_total_ult3,avg,mnt,,,total,ult3,False
avg_trx_mnt_total_smmlv_ult3,avg,mnt,,,total,ult3,True
avg_trx_cnt_total_ult3,avg,cnt,,,total,ult3,False
avg_trx_cnt_app_per_pag_ult3,avg,cnt,app_per_pag,app_per_pag,none,ult3,False
avg_trx_cnt_app_per_pag_ob_ult3,avg,cnt,app_per_pag,app_per_pag,ob,ult3,False
